customer_key,customer_segment,primary_market,primary_country,first_order_date,last_order_date,order_frequency,lifetime_revenue,lifetime_profit,avg_order_value,profit_margin_pct,cohort_month,is_repeat_customer,avg_days_between_orders,returned_orders,measured_orders,segment,segment_action,label_caveat,r_score,f_score,m_score,rfm_sum,days_since_last_purchase,days_since_first_purchase,customer_name,is_unprofitable,cohort_year,first_order_date_key
AARON_BERGMAN,Consumer,EU,France,2011-02-19,2014-12-15,37,24644.6275,4683.208,666.0710135135135,19.002957135383763,2011-02,1,38.75,0,32,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,3,4,5,12,16,1411,Aaron Bergman,0,2011,20110219
AARON_HAWKINS,Corporate,EU,United States,2011-04-22,2014-12-19,34,20759.51384,2450.9290400000004,610.5739364705883,11.806293051417626,2011-04,1,40.51515151515152,0,27,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.,4,3,5,12,12,1349,Aaron Hawkins,0,2011,20110422
AARON_SMAYLING,Corporate,EU,United States,2011-03-21,2014-12-08,31,14212.6284,369.1617999999999,458.4718838709677,2.5974210371953426,2011-03,1,45.266666666666666,2,28,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,2,3,7,23,1381,Aaron Smayling,0,2011,20110321
ADAM_BELLAVANCE,Home Office,LATAM,United States,2011-01-07,2014-11-26,41,20186.7784,4979.9769,492.3604487804878,24.669498031444185,2011-01,1,35.475,1,32,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,5,5,12,35,1454,Adam Bellavance,0,2011,20110107
ADAM_HART,Corporate,US,United States,2011-06-10,2014-12-29,42,21718.20142,1902.03342,517.1000338095239,8.757785155489177,2011-06,1,31.65853658536585,2,34,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.,5,5,5,15,2,1300,Adam Hart,0,2011,20110610
ADAM_SHILLINGSBURG,Consumer,LATAM,United States,2011-04-06,2014-12-16,36,15444.67672,1421.2741199999998,429.0187977777778,9.202355904021797,2011-04,1,38.57142857142857,2,32,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.,3,4,3,10,15,1365,Adam Shillingsburg,0,2011,20110406
ADRIAN_BARTON,Consumer,LATAM,United States,2011-05-18,2014-12-04,40,25123.18,6417.2845,628.0795,25.543281145141652,2011-05,1,33.23076923076923,5,33,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,5,5,12,27,1323,Adrian Barton,0,2011,20110518
ADRIAN_HANE,Home Office,US,United States,2011-07-18,2014-12-10,26,11405.91788,2081.37928,438.6891492307692,18.24824009692064,2011-07,1,49.64,2,22,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.,3,1,1,5,21,1262,Adrian Hane,0,2011,20110718
ADRIAN_SHAMI,Home Office,APAC,China,2011-11-17,2014-11-20,24,11286.0542,1564.4937999999995,470.2522583333334,13.862185776141317,2011-11,1,47.78260869565217,0,19,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile.",1,1,1,3,41,1140,Adrian Shami,0,2011,20111117
AIMEE_BIXBY,Consumer,LATAM,United States,2011-01-25,2014-11-26,28,16201.1746,2926.3543,578.6133785714286,18.062605781682027,2011-01,1,51.888888888888886,0,24,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn.",2,1,3,6,35,1436,Aimee Bixby,0,2011,20110125
