customer_key,customer_name,customer_segment,customer_ids,n_customer_ids,first_order_date,last_order_date,markets,primary_country,n_orders,n_lines,revenue,profit,signup_date_observed
AARON_BERGMAN,Aaron Bergman,Consumer,AB-10015|AB-15,2,2011-02-19,2014-12-15,APAC|Africa|EMEA|EU|LATAM|US,Australia,37,89,24644.6275,4683.208,2011-02-19
AARON_HAWKINS,Aaron Hawkins,Corporate,AH-10030|AH-30,2,2011-04-22,2014-12-19,APAC|Africa|EMEA|EU|LATAM|US,United States,34,56,20759.51384,2450.92904,2011-04-22
AARON_SMAYLING,Aaron Smayling,Corporate,AS-10045|AS-45,2,2011-03-21,2014-12-08,APAC|Africa|EMEA|EU|LATAM|US,United States,31,60,14212.6284,369.1617999999998,2011-03-21
ADAM_BELLAVANCE,Adam Bellavance,Home Office,AB-10060|AB-60,2,2011-01-07,2014-11-26,APAC|Africa|EMEA|EU|LATAM|US,United States,41,68,20186.7784,4979.9769,2011-01-07
ADAM_HART,Adam Hart,Corporate,AH-10075|AH-75,2,2011-06-10,2014-12-29,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,42,84,21718.201419999998,1902.0334199999998,2011-06-10
ADAM_SHILLINGSBURG,Adam Shillingsburg,Consumer,AS-10090|AS-90,2,2011-04-06,2014-12-16,APAC|Africa|EU|LATAM|US,United States,36,71,15444.676720000001,1421.2741199999998,2011-04-06
ADRIAN_BARTON,Adrian Barton,Consumer,AB-10105|AB-105,2,2011-05-18,2014-12-04,APAC|Africa|Canada|EMEA|EU|LATAM|US,United States,40,77,25123.18,6417.2845,2011-05-18
ADRIAN_HANE,Adrian Hane,Home Office,AH-10120|AH-120,2,2011-07-18,2014-12-10,APAC|Africa|EMEA|EU|LATAM|US,United States,26,54,11405.917879999999,2081.37928,2011-07-18
ADRIAN_SHAMI,Adrian Shami,Home Office,AS-10135|AS-135,2,2011-11-17,2014-11-20,APAC|Canada|EMEA|EU|LATAM|US,China,24,44,11286.0542,1564.4938,2011-11-17
AIMEE_BIXBY,Aimee Bixby,Consumer,AB-10150|AB-150,2,2011-01-25,2014-11-26,APAC|EMEA|EU|LATAM|US,United States,28,55,16201.1746,2926.3543,2011-01-25
