customer_key,customer_segment,primary_market,primary_country,first_order_date,last_order_date,order_frequency,total_lines,total_quantity,lifetime_revenue,lifetime_cost,lifetime_profit,lifetime_discount,lifetime_shipping,returned_orders,measured_orders,clv_historical_revenue,clv_historical_profit,avg_order_value,avg_order_profit,profit_margin_pct,days_since_last_purchase,tenure_days_observed,is_repeat_customer,return_rate_pct,avg_days_between_orders,cohort_month,r_score,f_score,m_score,rfm_cell,rfm_sum,fm_score,days_since_first_purchase,segment,segment_action,label_caveat
AARON_BERGMAN,Consumer,EU,France,2011-02-19,2014-12-15,37,89,301,24644.6275,19961.4195,4683.208,3799.4525,3128.3,0,32,24644.6275,4683.208,666.0710135135135,126.57318918918918,19.002957135383763,16,1395,1,0.0,38.75,2011-02,3,4,5,345,12,4.5,1411,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.
AARON_HAWKINS,Corporate,EU,United States,2011-04-22,2014-12-19,34,56,231,20759.51384,18308.5848,2450.9290400000004,4293.566159999999,2289.41,0,27,20759.51384,2450.9290400000004,610.5739364705883,72.08614823529413,11.806293051417626,12,1337,1,0.0,40.51515151515152,2011-04,4,3,5,435,12,4.0,1349,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.
AARON_SMAYLING,Corporate,EU,United States,2011-03-21,2014-12-08,31,60,211,14212.6284,13843.4666,369.1617999999999,3679.2316,1372.576,2,28,14212.6284,369.1617999999999,458.4718838709677,11.908445161290318,2.5974210371953426,23,1358,1,7.142857142857142,45.266666666666666,2011-03,2,2,3,223,7,2.5,1381,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn."
ADAM_BELLAVANCE,Home Office,LATAM,United States,2011-01-07,2014-11-26,41,68,262,20186.7784,15206.8015,4979.9769,2783.2015999999994,2731.469,1,32,20186.7784,4979.9769,492.3604487804878,121.4628512195122,24.669498031444185,35,1419,1,3.125,35.475,2011-01,2,5,5,255,12,5.0,1454,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn."
ADAM_HART,Corporate,US,United States,2011-06-10,2014-12-29,42,84,293,21718.20142,19816.168,1902.03342,3746.07858,2365.903,2,34,21718.20142,1902.03342,517.1000338095239,45.28650999999999,8.757785155489177,2,1298,1,5.88235294117647,31.65853658536585,2011-06,5,5,5,555,15,5.0,1300,Champions,Protect. Highest value and most recently active. Give early access to new ranges and priority fulfilment; do NOT spend discount here - they already buy at the best margins.,Relative label: top recency and value quintiles within this 795-customer panel.
ADAM_SHILLINGSBURG,Consumer,LATAM,United States,2011-04-06,2014-12-16,36,71,238,15444.67672,14023.4026,1421.2741199999998,4000.67328,1726.02,2,32,15444.67672,1421.2741199999998,429.0187977777778,39.47983666666666,9.202355904021797,15,1350,1,6.25,38.57142857142857,2011-04,3,4,3,343,10,3.5,1365,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.
ADRIAN_BARTON,Consumer,LATAM,United States,2011-05-18,2014-12-04,40,77,265,25123.18,18705.8955,6417.2845,3756.08,2638.284,5,33,25123.18,6417.2845,628.0795,160.4321125,25.543281145141652,27,1296,1,15.151515151515152,33.23076923076923,2011-05,2,5,5,255,12,5.0,1323,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn."
ADRIAN_HANE,Home Office,US,United States,2011-07-18,2014-12-10,26,54,207,11405.91788,9324.5386,2081.37928,1456.2021199999997,984.642,2,22,11405.91788,2081.37928,438.6891492307692,80.05304923076923,18.24824009692064,21,1241,1,9.090909090909092,49.64,2011-07,3,1,1,311,5,1.0,1262,Potential Loyalists,Convert to loyal. Recently active but spending below their cohort. Targeted category offers and a second-order incentive are justified here.,Relative label: recent but below-panel-average value. Not 'new' - see New Customers.
ADRIAN_SHAMI,Home Office,APAC,China,2011-11-17,2014-11-20,24,44,144,11286.0542,9721.5604,1564.4937999999995,1927.8558,933.015,0,19,11286.0542,1564.4937999999995,470.2522583333334,65.18724166666665,13.862185776141317,41,1099,1,0.0,47.78260869565217,2011-11,1,1,1,111,3,1.0,1140,Lost Customers,Reactivate cheaply or release. Longest dormancy in the panel. Use low-cost channels only; do not fund deep discounts to chase them.,"Relative label, and the most easily misread. Dormancy runs 36-428 days with a median near 49 - only 1 customer in the whole panel exceeds 180 days. These customers are not lost in any real sense; they are simply the least recent quintile."
AIMEE_BIXBY,Consumer,LATAM,United States,2011-01-25,2014-11-26,28,55,208,16201.1746,13274.8203,2926.3543,1342.8354,1850.034,0,24,16201.1746,2926.3543,578.6133785714286,104.51265357142856,18.062605781682027,35,1401,1,0.0,51.888888888888886,2011-01,2,1,3,213,6,2.0,1436,At Risk,"Reactivate now. Previously valuable, engagement slipping. Time-boxed win-back offer plus a service check - review whether returns or late shipments preceded the drop-off.","Relative label. Median dormancy is only ~28 days; this is the second-lowest recency quintile of a highly active panel, NOT evidence of churn."
ALAN_BARNES,Consumer,EU,United States,2011-02-18,2014-12-18,35,60,232,13049.041,10612.975,2436.0660000000003,1382.169,1118.846,3,29,13049.041,2436.0660000000003,372.8297428571429,69.60188571428573,18.6685443014548,13,1399,1,10.344827586206897,41.14705882352941,2011-02,3,4,2,342,9,3.0,1412,Loyal Customers,Grow basket size. Consistent buyers with room to move up. Cross-sell adjacent sub-categories and bundle the low-margin items they already buy.,Relative label: upper-middle recency and value within this panel.
